"CINEMA NDG","960565","LANGLOIS, PAUL","PROJET DE MÉDIATION CULTURELLE INTITULÉ RE CRÉATION OFFERT DANS LE CADRE L'EXPOSITION PROCESSION PRÉSENTÉE DURANT L'ÉTÉ 2014 À LA MAISON DE LA CULTURE NDG","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","9 500 $ "
"CIRA SERVICES MEDICAUX INC.","907771","DUPRE, LUCIE","COMITÉ MÉDICAL","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","GESTION DU PERSONNEL","2 271 $ "
"CIRANO","945230","LUU, VINH","SERVICES PROFESSIONNELS. RÉALISATION D'UN PROJET AYANT POUR MANDAT D'EXAMINER DES EFFETS DE L'APPLICATION DE LA CLAUSE DE PROPORTIONNALITÉ SUR LE CLASSEMENT DES OFFRES DE SERVICES SOUMIS À LA CSEM ET L'ALLOCATION DES CONTRATS AU MEILLEUR COÛT","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","21 750 $ "
"CIRANO","953022","CECILE, DANIELLE","OCTROYER UN CONTRAT DE SERVICES PROFESSIONNELS AU CENTRE INTERUNIVERSITAIRE DE RECHERCHE EN ANALYSE DES ORGANISATIONS (CIRANO) POUR DES SERVICES CONSEILS PORTANT SUR L'APPLICATION DE LA STRATÉGIE D'INCLUSION.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AUTRES BIENS - RÉNOVATION URBAINE","13 530 $ "
"CIRANO","2014106","SIMARD, JEAN-SEBASTIEN","FACTURE 2014-106","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","25 928 $ "
"CISION QUEBEC INC.","53683","LAPOINTE, JULIE","REF #585, SURVEILLANCE RADIO-TÉLÉVISION","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 151 $ "
"CISION QUEBEC INC.","934646","SPANDONIDE, CAROLINE","SERVICES D'ÉVALUATION ET DE SURVEILLANCE. TABLEAU DE BORD DES MÉDIAS SOCIAUX - NIVEAU PROFESSIONNEL, CONTRAT DE 12 MOIS DÉBUTANT LE 1ER JANVIER 2014 ET SUJET AUX MODALITÉS ET AUX CONDITIONS DE L'ENTENTE AVEC CISION; DOCUMENT JOINT","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","12 445 $ "
"CITRIX SYSTEME INC.","917014","MARCOUX, ALAIN","RENOUVELLEMENT DE L'ENTRETIEN - LICENCES CITRIX XENAPP - DU 31 JANVIER 2014 AU 31 JANVIER 2015","SERVICE DES TECHNOLOGIES DE L'INFORMATION","GESTION DE L'INFORMATION","41 329 $ "
"CLAIR K INC.","911112","BRUNELLE, CHARLES-MATHIEU","MAMROT - DIRECTION ARTISTIQUE ET CRÉATION POUR LE RENOUVELLEMENT DE L'EXPOSITION 1000 JOURS AU CAMP DE BASE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","21 000 $ "
"CLAIRE LAVOIE","974936","TESSIER, MONIQUE","CONTRAT DE SERVICES PROFESSIONNELS  POUR DES SERVICES-CONSEIL EN COMMUNICATION ET RÉDACTION DU SCHÉMA D'AMÉNAGEMENT ET DE DÉVELOPPEMENT DE L'AGGLOMÉRATION DE MONTRÉAL.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AMÉNAG. DU TERRITOIRE, RÉGLEMENTATION ET ZONAGE","3 400 $ "
"CLARA PELLETIER","920963","LANGLOIS, PAUL","SLT-BIBLIO BOISÉ  SPÉCIALISTE EN DÉVELOPPEMENT DE PUBLIC","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","11 440 $ "
"CLAUDE GUEDJ & ASSOCIES, PSYCHOLOGIE INDUSTRIELLE ET ORGANISATIONNELLE INC.","980235","DUCAS, SYLVAIN","CONSOLIDATION ET HARMONISATION DES ÉQUIPES DE TRAVAIL.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AMÉN., URB. ET DÉVEL. - DIR.ADM. ET SOUTIEN - À RÉPARTIR","2 593 $ "
"CLAUDE GUEDJ & ASSOCIES, PSYCHOLOGIE INDUSTRIELLE ET ORGANISATIONNELLE INC.","985472","DUCAS, SYLVAIN","ACTIVITÉ DE CONSOLIDATION DE L'ÉQUIPE DE DIRECTION LE 21 AOÛT 2014, FACTURE #1367-35 // SIGNATURE M. SYLVAIN DUCAS","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AMÉN., URB. ET DÉVEL. - DIR.ADM. ET SOUTIEN - À RÉPARTIR","3 111 $ "
"CLAUDE LABOSSIERE","903090","CHOQUET, JEAN-ROBERT","DOCUMENTER LA «COLLECTION MONTRÉALAISE D'ART PUBLIC»","SERVICE DE LA QUALITÉ DE VIE","ACT. RÉCRÉATIVES - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","6 000 $ "
"CLAUDE LABOSSIERE","939113","CHOQUET, JEAN-ROBERT","PROGRAMME DE MISE EN VALEUR DE L'ART PUBLIC (CONTRAT NO 2) MONTANT MAX. $24 990.00","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","23 663 $ "
"CLAUDETTE DUBÉ, DENISE BILODEAU ET LUC LATOUR_1","RMI0000968420000993430004","DÉTAILS PROVIENNENT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","CLAUDETTE DUBÉ, DENISE BILODEAU ET LUC LATOUR\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 13-005479, SUR LA LISTE DE PAIEMENT 1408IC004 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","3 938 $ "
"CLAULAC INC.","909080","LUU, VINH","ARPENTAGE : OFFRE 1458","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","39 106 $ "
"CLAULAC INC.","962973","LUU, VINH","TRAVAUX D'ARPENTAGE POUR LES TRAVAUX DE LA CSEM JUSQU'À CONCURRENCE DE 79 298.26 $ INCLUANT LES TAXES DANS LE CADRE DU MANDAT 1546","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","69 405 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","DIC723247","MASSE, PAUL","REPARATION VERIN DE GARAGE  (DICKSON)","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","3 683 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","DIC728543","BRANCONNIER, SERGE","REPARATION DE VERIN DE GARAGE DICKSON","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","7 862 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","DIC729712","DESMARAIS, RICHARD","RÉPARATION VERIN GARAGE DICKSON","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 119 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","DIC730747","BRANCONNIER, SERGE","REPARATION VERIN DE GARAGE DICKSON","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","3 909 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","DIC733011","BRANCONNIER, SERGE","RÉPARATION D`UN VÉRIN DE GARAGE AU 2030  DICKSON","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 887 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","CAR730798","LUSSIER, STEPHANIE","9045 R0AC3-MC VALVE 1""","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 161 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","CAR739566","DAVID, STEPHANE"," REPARATION LIFT VM-497647","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 463 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","MAD736940","MASSE, PAUL","REPARATION D' UN VERIN HYD. VM739323","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 920 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","MAD741751","BRISEBOIS, JOEL","FOURNI P/O POUR REPARATION DE LA POMPE DE PUISARD FACTURE# F-52789","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 298 $ "
"CLIFFORD UNDERWOOD HYDRAULIQUE LTEE.","ROS736057","BRANCONNIER, SERGE","RÉPARATION DE VERIN SUR VERIN HYDRAULIQUE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 920 $ "
"CLIMATISATION MORRISON INC.","980151","GAUDET, MARTIN","RÉPARATION FUITE SUR TUYAUTERIE COMPRESSEUR.","SERVICE DES GRANDS PARCS, DU VERDISSEMENT ET DU MONT ROYAL","HORTICULTURE ET ARBORICULTURE","3 215 $ "
"CLINIQUE CHIRURGICALE DE LAVAL S.E.N.C.R.L.","970621","DUPRE, LUCIE","CHIRURGIE ORTHOPÉDIQUE","SERVICE DES RESSOURCES HUMAINES","GESTION DU PERSONNEL","2 650 $ "
"CLINIQUE CHIRURGICALE DE LAVAL S.E.N.C.R.L.","967127","DUPRE, LUCIE","EXPERTISE MÉDICALE","SERVICE DES RESSOURCES HUMAINES","GESTION DU PERSONNEL","2 650 $ "
"CLINIQUE CHIRURGICALE DE LAVAL S.E.N.C.R.L.","984971","DESJARDINS, SUZANNE","EXPERTISE MÉDICALE","SERVICE DES RESSOURCES HUMAINES","GESTION DU PERSONNEL","6 885 $ "
"CLINIQUE CHIRURGICALE DE LAVAL S.E.N.C.R.L.","941824","DESJARDINS, SUZANNE","HONORAIRES PROFESSIONNELS. CHIRURGIE ORTHOPÉDIQUE PRATIQUÉE PAR LE DR SÉBASTIEN GUIMOND SIMARD","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","GESTION DU PERSONNEL","6 546 $ "
"CLINIQUE CHIRURGICALE DE LAVAL S.E.N.C.R.L.","941827","DESJARDINS, SUZANNE","HONORAIRES PROFESSIONNELS. CHIRURGIE ORTHOPÉDIQUE PRATIQUÉE PAR LE DR SÉBASTIEN GUIMOND SIMARD","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","GESTION DU PERSONNEL","5 425 $ "
"CLOTURES FRONTENAC INC.","902475","BELANGER, JOSEE","AVENUE MILLEN - ACHAT CLÔTURE DE 915 MM (M.E. MANCILLA)","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","CONSTRUCTION D'INFRASTRUCTURES DE VOIRIE","23 911 $ "
"CLOTURES SENTINELLE LTEE","983702","NADEAU, MICHEL G","REMPLACEMENT DE CLÔTURE EN ACIER GALVANISÉ (FROST) SUR LE LOT 1 901 335, SITUÉ DANS LE CUL DE SAC DE LA RUE DE L'ALLICANCE DANS L'ARRONDISSEMENT D'AHUNTSIC-CARTIERVILLE. RÉF: 31H12-005-0440-03, MANDAT 14-0340-X.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","4 460 $ "
"CLOTURES SPEC II INC.","952120","LACOMBE, PIERRE","101406 / S. MORIN /  CLÔTURE POUR LES JARDINIERS, TONDEUSES, WEED EATER","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 625 $ "
"CLUB ASSURANCE INC.","906722","GAGNIER, PHILIPPE","RÈGLEMENT HORS COUR RÉCLAMATION DOSSIER 13-003077","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","10 156 $ "
"CNW-TELBEC INC","938250","SHOIRY, NANCY","SERVICE DE DIFFUSION SUR LE FIL DE PRESSE DE PLUSIEURS COMMUNIQUÉS ANNONÇANT DES CONCOURS OU TOUTE AUTRE NOUVELLE PROVENANT DU BUREAU DU DESIGN DE LA VILLE DE MONTRÉAL.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","5 186 $ "
"CNW-TELBEC INC","835584","RACICOT, JEAN","SERVICES DE PRODUCTION ET DE DIFFUSION DE COMMUNIQUÉS SUR FIL DE PRESSE AUX MÉDIAS DES RÉSEAUX DE MONTRÉAL, DU QUÉBEC ET DE BASE AU CANADA, ENTENTE 811480 , VALIDE POUR 2013-2015 JUSQU'À CONCURRENCE DE 24 999 $ TAXES INCLUSES.","SERVICE DES COMMUNICATIONS","REL. AVEC LES CITOYENS ET COMMUNICATIONS","5 186 $ "
"COALITION MONTREAL-MARCEL COTE","RECHERCHE20JANVIER2014","SIMARD, JEAN-SEBASTIEN","RECHERCHE ET SOUTIEN DU 20 JANVIER 2014","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","2 519 $ "
"COALITION MONTREAL-MARCEL COTE","RECHERCHE4FEVRIER2014","SIMARD, JEAN-SEBASTIEN","RECHERCHE ET SOUTIEN DU 4 FEVRIER 2014","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 719 $ "
"COALITION MONTREAL-MARCEL COTE","RECHERCHE26FEVRIER2014","SIMARD, JEAN-SEBASTIEN","RECHERCHE ET SOUTIEN DU 26 FÉVRIER 2014","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 600 $ "
"COALITION MONTREAL-MARCEL COTE","RECHERCHE7AVRIL2014","SIMARD, JEAN-SEBASTIEN","RECHERCHE ET SOUTIEN DU 7 AVRIL 2014","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","5 286 $ "
"COALITION MONTREAL-MARCEL COTE","VERIF2013COALITION","SIMARD, JEAN-SEBASTIEN","REMBOURSEMENT DES FRAIS DE VÉRIFICATION DES ÉTATS FINANCIERS 2013 (ARTICLES 488 ET 490 DE LA LOI SUR LES ÉLECTIONS ET LES RÉFÉRENDUMS DANS LES MUNICIPALITÉ).","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 000 $ "
"COALITION MONTREAL-MARCEL COTE-HENRI ROY","ALLOCOALITION10FEV14","SIMARD, JEAN-SEBASTIEN","ALLOCATION 10 FÉVRIER 2014","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 198 $ "
"COALITION MONTREAL-MARCEL COTE-HENRI ROY","ALLOCATION7AVRIL14","SIMARD, JEAN-SEBASTIEN","ALLOCATION AUX PARTIS POLITIQUES DU 7 AVRIL 2014","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 312 $ "
"COALITION MONTREAL-MARCEL COTE-HENRI ROY","DEPELEC3NOV13COLAITIONMONTREAL","SIMARD, JEAN-SEBASTIEN","VERSEMENT AVANCE SUR REMBOURSEMENT DES DÉPENSES ÉLECTORALES DU 3 NOVEMBRE 2013 APRÈS VÉRIFICATION DE TOUTES LES PIÈCES JUSTIFICATIVES","SERVICE DES FINANCES","GREFFE","186 350 $ "
"COALITION MONTREAL-MARCEL COTE-HENRI ROY","ALLOCATION4MAI14","SIMARD, JEAN-SEBASTIEN","ALLOCATIONS AUX PARTIS POLITIQUES DU 4 MAI 14","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","13 789 $ "
"COALITION MONTREAL-MARCEL COTE-HENRI ROY","ALLOCOALITION16JUIN14","SIMARD, JEAN-SEBASTIEN","ALLOCATIONS AUX PARTIS POLITIQUES DU 16 JUIN 2014","SERVICE DES FINANCES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 472 $ "
"COARCHITECTURE","954057","LACOMBE, PIERRE","MEMBRE DU JURY DE SÉLECTION DANS LE CADRE DU CONCOURS D'ARCHITECTURE D'ESPACE POUR LA VIE 2014","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","10 828 $ "
"CODE UNIVERSEL","901645","LANGLOIS, PAUL","3 SPECTACLES PRÉSENTÉS LE 30 OCTOBRE ET LE 15 ET 16 NOVEMBRE 2013","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","7 401 $ "
"CODE UNIVERSEL","905721","LANGLOIS, PAUL","MATCHS D'IMPROVISATION EN DANSE LORS DES RENCONTRES CULTURELLES DU RÉSEAU ACCÈS CULTURE DE MONTRÉAL - 30 OCTOBRE AU 16 NOVEMBRE 2013","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","7 096 $ "
"COENCORP","965104","GUINDON, PATRICE","RENOUVELLEMENT POUR L'ENTRETIEN ET LE SOUTIEN TECHNIQUE ""COENHELP"" ( PATRICE GUINDON )","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","13 482 $ "
"COFFRES-FORTS C.B. 2000 INC.","911104","DEROME, JOHANNE","ACHAT D'UN COFFRE FORT (MODÈLE CBV-4424 CLASSE 3) POUR LE TAZ SITUÉ AU 8931 RUE PAPINEAU À MONTRÉAL","SERVICE DE LA QUALITÉ DE VIE","ACT. RÉCRÉATIVES - DIR. ET ADM. - À RÉPARTIR","4 608 $ "
"COFFRES-FORTS C.B. 2000 INC.","918971","BOLDUC, JOSEE","COFFRE FORT POUR LE BIODÔME (2X)","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 790 $ "
"COFOMO INC.","894401","BOND, ALAIN","CONTRAT DE SERVICES TECHNIQUES - APPUYER LE SERVICE À L'INTÉGRATION D'UNE NOUVELLE DIVISION","SERVICE DU CONTRÔLEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","6 434 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","914890","HAMEL, ANDRE","PLACEMENT MÉDIA PUBLICITAIRE - CAMPAGNE DÉNEIGEMENT 2013-2014 - PANOBUS ARRIÈRES - AUTOBUS STM","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","21 995 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","945827","HAMEL, ANDRE","PLACEMENT MÉDIA - GRANDE CORVÉE 2014","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","11 548 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","947099","HAMEL, ANDRE","PLACEMENT MÉDIA","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","4 387 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","947110","HAMEL, ANDRE","PLACEMENT MÉDIA","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","9 490 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","947117","HAMEL, ANDRE","PLACEMENT MÉDIA","SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","9 334 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","947117","HAMEL, ANDRE","PLACEMENT MÉDIA - PORTION RADIO 105,7 - GRANDE CORVÉE 2014 - #CONTRAT 302295","SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","9 334 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","947099","HAMEL, ANDRE","PLACEMENT MÉDIA - PORTION RADIO 92.5 THE BEAT - GRANDE CORVÉE 2014 - #CONTRAT 110046","SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","3 609 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","947110","HAMEL, ANDRE","PLACEMENT MÉDIA - PORTION RADIO 98.5 - GRANDE CORVÉE 2014 - #CONTRAT 302266","SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","8 712 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","945827","HAMEL, ANDRE","PLACEMENT MÉDIA - PORTION RADIO CKOI 96.9 - GRANDE CORVÉE 2014 - #CONTRAT 302249","SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","10 692 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","947117","HAMEL, ANDRE","PLACEMENT MÉDIA","SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","4 961 $ "
"COGECO DIFFUSION ACQUISITIONS INC.","2845961","VALIQUETTE, LUCILLE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 500 $ "
"COGECO DIFFUSION INC.","1487","LAPOINTE, JULIE","REF #814, PROJET 23 PROMO MIM ATIRAGES RYTHME FM","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 000 $ "
"COGECO DIFFUSION INC.","3000751","JAMAL EDDINE, HALIMA","30 SEC - RADIO 105.7 DU 17-23 FÉVRIER 2014- RELÂCHE SCOLAIRE BIODÔME.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","5 850 $ "
"COGECO DIFFUSION INC.","959863","COTE, RICHARD P.","PUBLICITÉ RADIO POUR LE CHANTIER EDOUARD MONTPETIT","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","5 201 $ "
"COGECO DIFFUSION INC.","948841","SEGUIN, MICHEL","PUBLICITÉ POUR LA CAMPAGNE « RÉGLEMENTATION DE L'USAGE DE L'EAU »","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","28 445 $ "
"COGECO DIFFUSION INC.","959863","COTE, RICHARD P.","PUBLICITÉ RADIO POUR LE CHANTIER EDOUARD MONTPETIT","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","5 201 $ "
"COGECO DIFFUSION INC.","954815","LACOMBE, PIERRE","DIFFUSION RADIO-CANADA POUR LA SEMAINE DE RELÂCHE AU BIODÔME","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","9 225 $ "
"COGECO SERVICES RESEAUX INC.","984050","LUU, VINH","FRAIS POUR DÉPLACEMENT DE RÉSEAU - RUE JARRY EST-ENTRE LA RUE IBERVEILLE ET LE BOUL. ST-MICHEL","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","60 034 $ "
"COGECO SERVICES RESEAUX INC.","985038","LUU, VINH","CONVERSION - FRAIS DE DÉPLACEMENT DE RÉSEAU (RUE CLARK ENTRE RUES JEAN-TALON ET BEAUBIEN)","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES BIENS - RÉNOVATION URBAINE","20 644 $ "
"COGEP INC.","13389","DAOUST, LINDA","ENTRETIEN BC203543","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 400 $ "
"COGEP INC.","909083","BOUVRETTE, JEAN","RENOUVELLEMENT DU CONTRAT DE SERVICE ANNUEL DU LOGICIEL GUIDE TI POUR LA PÉRIODE DU 1ER JANVIER AU 2# DÉCEMBRE 2014.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","10 850 $ "
"COGICOR INC.","947730","DESJARDINS, SUZANNE","ACCORDER, DE GRÉ À GRÉ, UN CONTRAT DE SERVICES PROFESSIONNELS AFIN DE FOURNIR DES SERVICES DE CONSULTATIONS PSYCHOLOGIQUES AUX DIRECTEURS DE LA VILLE DE MONTRÉAL, QUI EN FERONT LA DEMANDE DANS LE CADRE DU SERVICE PERSONNALISÉ D’ACCOMPAGNEMENT EXÉCUTIF ","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","GESTION DU PERSONNEL","2 000 $ "
"COLE-PARMER CANADA INC.","934893","RICHARD, GILBERT","BCO 2014 - COMMANDE OUVERTE - PISCINE - JOSÉE BISSON","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","AUTRES - HYGIÈNE DU MILIEU","2 074 $ "
"COLLEGE DE BOIS-DE-BOULOGNE","862445","BOURGET, JOCELYNE","BC OUVERT-FORMATIONS POUR LA DEEA","SERVICE DES TECHNOLOGIES DE L'INFORMATION","GESTION DE L'INFORMATION","4 124 $ "
"COLLEGE DE BOIS-DE-BOULOGNE","963573","TONTHAT, ALAIN","PROJET # 74650 - CONTRAT GRÉ À GRÉ  POUR LA FOURNITURE DE FORMATION ORACLE CONFORMÉMENT À L'ARTICLE 573.1.2 DE LA LOI SUR LES CITÉS & VILLES - OFFRE DE SERVICES 2014-VILMTL-007","SERVICE DES TECHNOLOGIES DE L'INFORMATION","GESTION DE L'INFORMATION","6 396 $ "
"COLLEGE DE BOIS-DE-BOULOGNE","973237","DION, GEORGES","FORMATION APEX POUR 5 PARTICIPANTS DE LA DÉEA","SERVICE DES TECHNOLOGIES DE L'INFORMATION","GESTION DE L'INFORMATION","4 900 $ "
"COLLEGE DES MEDECINS DU QUEBEC","921064","DESJARDINS, SUZANNE","RENOUVELLEMENT 2014 DES FICHIERS INFORMATIQUES.","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","GESTION DU PERSONNEL","3 294 $ "
